#tstep,        time,  Ref. state,       state,    Pcontrol,    Icontrol,    Dcontrol,       noise,     capping,         raw,     control
     1,    0.000099,    0.000987,    0.000000,    0.001974,    0.000000,    0.000000,    0.000000,    0.000000,    0.001974,    0.001974
     2,    0.000199,    0.000987,    0.000841,    0.000292,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000292,    0.000292
     3,    0.000298,    0.000987,    0.000645,    0.000685,    0.000000,    0.000000,    0.000000,    0.000000,    0.000685,    0.000685
     4,    0.000398,    0.000987,    0.000787,    0.000400,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000400,    0.000400
     5,    0.000497,    0.000987,    0.000779,    0.000416,    0.000000,    0.000000,    0.000000,    0.000000,    0.000416,    0.000416
     6,    0.000597,    0.000987,    0.000815,    0.000344,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000344,    0.000344
     7,    0.000696,    0.000987,    0.000827,    0.000320,    0.000000,    0.000000,    0.000000,    0.000000,    0.000320,    0.000320
     8,    0.000796,    0.000987,    0.000843,    0.000287,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000287,    0.000287
     9,    0.000895,    0.000987,    0.000854,    0.000265,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000265,    0.000265
    10,    0.000995,    0.000987,    0.000865,    0.000245,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000245,    0.000245
    11,    0.001094,    0.000987,    0.000873,    0.000227,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000227,    0.000227
    12,    0.001194,    0.000987,    0.000881,    0.000212,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000212,    0.000212
    13,    0.001293,    0.000987,    0.000888,    0.000199,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000199,    0.000199
    14,    0.001392,    0.000987,    0.000894,    0.000186,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000186,    0.000186
    15,    0.001492,    0.000987,    0.000899,    0.000175,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000175,    0.000175
    16,    0.001591,    0.000987,    0.000904,    0.000165,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000165,    0.000165
    17,    0.001691,    0.000987,    0.000909,    0.000156,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000156,    0.000156
    18,    0.001790,    0.000987,    0.000913,    0.000147,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000147,    0.000147
    19,    0.001890,    0.000987,    0.000917,    0.000140,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000140,    0.000140
    20,    0.001989,    0.000987,    0.000921,    0.000132,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000132,    0.000132
    21,    0.002089,    0.000987,    0.000924,    0.000125,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000125,    0.000125
    22,    0.002188,    0.000987,    0.000928,    0.000119,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000119,    0.000119
    23,    0.002288,    0.000987,    0.000930,    0.000113,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000113,    0.000113
    24,    0.002387,    0.000987,    0.000933,    0.000107,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000107,    0.000107
    25,    0.002487,    0.000987,    0.000936,    0.000102,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000102,    0.000102
    26,    0.002586,    0.000987,    0.000938,    0.000098,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000098,    0.000098
    27,    0.002685,    0.000987,    0.000941,    0.000093,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000093,    0.000093
    28,    0.002785,    0.000987,    0.000943,    0.000089,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000089,    0.000089
    29,    0.002884,    0.000987,    0.000944,    0.000085,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000085,    0.000085
    30,    0.002984,    0.000987,    0.000946,    0.000081,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000081,    0.000081
    31,    0.003083,    0.000987,    0.000948,    0.000078,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000078,    0.000078
    32,    0.003183,    0.000987,    0.000949,    0.000075,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000075,    0.000075
    33,    0.003282,    0.000987,    0.000951,    0.000073,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000073,    0.000073
    34,    0.003382,    0.000987,    0.000952,    0.000070,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000070,    0.000070
    35,    0.003481,    0.000987,    0.000953,    0.000068,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000068,    0.000068
    36,    0.003581,    0.000987,    0.000954,    0.000066,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000066,    0.000066
    37,    0.003680,    0.000987,    0.000955,    0.000064,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000064,    0.000064
    38,    0.003780,    0.000987,    0.000955,    0.000063,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000063,    0.000063
    39,    0.003879,    0.000987,    0.000956,    0.000062,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000062,    0.000062
    40,    0.003978,    0.000987,    0.000957,    0.000060,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000060,    0.000060
    41,    0.004078,    0.000987,    0.000957,    0.000059,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000059,    0.000059
    42,    0.004177,    0.000987,    0.000958,    0.000058,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000058,    0.000058
    43,    0.004277,    0.000987,    0.000959,    0.000057,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000057,    0.000057
    44,    0.004376,    0.000987,    0.000959,    0.000055,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000055,    0.000055
    45,    0.004476,    0.000987,    0.000960,    0.000054,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000054,    0.000054
    46,    0.004575,    0.000987,    0.000960,    0.000053,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000053,    0.000053
    47,    0.004675,    0.000987,    0.000961,    0.000052,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000052,    0.000052
    48,    0.004774,    0.000987,    0.000962,    0.000051,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000051,    0.000051
    49,    0.004874,    0.000987,    0.000962,    0.000049,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000049,    0.000049
    50,    0.004973,    0.000987,    0.000963,    0.000048,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000048,    0.000048
    51,    0.005073,    0.000987,    0.000964,    0.000047,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000047,    0.000047
    52,    0.005172,    0.000987,    0.000964,    0.000045,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000045,    0.000045
    53,    0.005271,    0.000987,    0.000965,    0.000043,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000043,    0.000043
    54,    0.005371,    0.000987,    0.000966,    0.000042,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000042,    0.000042
    55,    0.005470,    0.000987,    0.000967,    0.000040,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000040,    0.000040
    56,    0.005570,    0.000987,    0.000968,    0.000038,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000038,    0.000038
    57,    0.005669,    0.000987,    0.000969,    0.000037,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000037,    0.000037
    58,    0.005769,    0.000987,    0.000970,    0.000035,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000035,    0.000035
    59,    0.005868,    0.000987,    0.000971,    0.000032,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000032,    0.000032
    60,    0.005968,    0.000987,    0.000972,    0.000030,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000030,    0.000030
    61,    0.006067,    0.000987,    0.000973,    0.000028,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000028,    0.000028
    62,    0.006167,    0.000987,    0.000974,    0.000025,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000025,    0.000025
    63,    0.006266,    0.000987,    0.000976,    0.000023,    0.000000,   -0.000000,    0.000000,    0.000000,    0.000023,    0.000023
