#tstep,        time,  Ref. state,       state,    Pcontrol,    Icontrol,    Dcontrol,       noise,     capping,         raw,     control
     1,    0.000240,    0.493480,    0.000000,    0.740220,    0.011865,    0.000000,    0.000000,    1.000000,    0.752085,    0.523599
     2,    0.000481,    0.493480,    0.346628,    0.220279,    0.015395,   -0.000000,    0.000000,    0.000000,    0.235674,    0.235674
     3,    0.000721,    0.493480,    0.396261,    0.145828,    0.017733,    0.000000,    0.000000,    0.000000,    0.163561,    0.163561
     4,    0.000962,    0.493480,    0.419893,    0.110381,    0.019502,   -0.000000,    0.000000,    0.000000,    0.129883,    0.129883
     5,    0.001202,    0.493480,    0.438459,    0.082532,    0.020825,   -0.000000,    0.000000,    0.000000,    0.103357,    0.103357
     6,    0.001443,    0.493480,    0.452261,    0.061829,    0.021816,   -0.000000,    0.000000,    0.000000,    0.083645,    0.083645
     7,    0.001683,    0.493480,    0.464417,    0.043596,    0.022515,   -0.000000,    0.000000,    0.000000,    0.066110,    0.066110
     8,    0.001923,    0.493480,    0.475098,    0.027573,    0.022956,   -0.000000,    0.000000,    0.000000,    0.050529,    0.050529
     9,    0.002164,    0.493480,    0.485085,    0.012594,    0.023158,   -0.000000,    0.000000,    0.000000,    0.035752,    0.035752
    10,    0.002404,    0.493480,    0.494288,   -0.001212,    0.023139,   -0.000000,    0.000000,    0.000000,    0.021927,    0.021927
    11,    0.002645,    0.493480,    0.502683,   -0.013805,    0.022918,   -0.000000,    0.000000,    0.000000,    0.009113,    0.009113
    12,    0.002885,    0.493480,    0.510690,   -0.025815,    0.022504,   -0.000000,    0.000000,    0.000000,   -0.003312,   -0.003312
    13,    0.003126,    0.493480,    0.517525,   -0.036068,    0.021926,   -0.000000,    0.000000,    0.000000,   -0.014142,   -0.014142
    14,    0.003366,    0.493480,    0.523619,   -0.045208,    0.021201,   -0.000000,    0.000000,    0.000000,   -0.024007,   -0.024007
    15,    0.003606,    0.493480,    0.528492,   -0.052518,    0.020359,   -0.000000,    0.000000,    0.000000,   -0.032159,   -0.032159
    16,    0.003847,    0.493480,    0.532434,   -0.058431,    0.019423,   -0.000000,    0.000000,    0.000000,   -0.039008,   -0.039008
    17,    0.004087,    0.493480,    0.536087,   -0.063911,    0.018398,   -0.000000,    0.000000,    0.000000,   -0.045512,   -0.045512
    18,    0.004328,    0.493480,    0.538944,   -0.068196,    0.017305,   -0.000000,    0.000000,    0.000000,   -0.050891,   -0.050891
    19,    0.004568,    0.493480,    0.541500,   -0.072030,    0.016151,   -0.000000,    0.000000,    0.000000,   -0.055879,   -0.055879
    20,    0.004809,    0.493480,    0.543736,   -0.075384,    0.014943,   -0.000000,    0.000000,    0.000000,   -0.060441,   -0.060441
    21,    0.005049,    0.493480,    0.546044,   -0.078845,    0.013679,   -0.000000,    0.000000,    0.000000,   -0.065166,   -0.065166
    22,    0.005289,    0.493480,    0.548409,   -0.082393,    0.012358,   -0.000000,    0.000000,    0.000000,   -0.070035,   -0.070035
    23,    0.005530,    0.493480,    0.550822,   -0.086013,    0.010980,   -0.000000,    0.000000,    0.000000,   -0.075033,   -0.075033
    24,    0.005770,    0.493480,    0.553450,   -0.089955,    0.009538,   -0.000000,    0.000000,    0.000000,   -0.080417,   -0.080417
    25,    0.006011,    0.493480,    0.556241,   -0.094141,    0.008029,   -0.000000,    0.000000,    0.000000,   -0.086112,   -0.086112
    26,    0.006251,    0.493480,    0.559496,   -0.099023,    0.006442,   -0.000000,    0.000000,    0.000000,   -0.092582,   -0.092582
    27,    0.006492,    0.493480,    0.563215,   -0.104602,    0.004765,   -0.000000,    0.000000,    0.000000,   -0.099837,   -0.099837
    28,    0.006732,    0.493480,    0.567887,   -0.111611,    0.002976,   -0.000000,    0.000000,    0.000000,   -0.108635,   -0.108635
