|==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |  17.450187   |  -48.291914  |   8.172289   |   7.685897   |  -0.339842   |   0.130108   |
|      1       |  17.450187   |  48.291914   |   8.172289   |   7.685897   |  -0.339842   |   0.130108   |
|      2       |   3.022412   |  217.088579  |  34.554069   |  34.550720   |  -0.013921   |   0.028943   |
|      3       |   3.022412   | -217.088579  |  34.554069   |  34.550720   |  -0.013921   |   0.028943   |
|      4       |  -2.639654   |  126.702024  |  20.169629   |  20.165253   |   0.020829   |   0.049590   |
|      5       |  -2.639654   | -126.702024  |  20.169629   |  20.165253   |   0.020829   |   0.049590   |
|      6       |  -9.864929   | -845.918031  |  134.641191  |  134.632036  |   0.011661   |   0.007428   |
|      7       |  -9.864929   |  845.918031  |  134.641191  |  134.632036  |   0.011661   |   0.007428   |
|      8       |  -10.327128  | -1666.440435 |  265.227325  |  265.222233  |   0.006197   |   0.003770   |
|      9       |  -10.327128  | 1666.440435  |  265.227325  |  265.222233  |   0.006197   |   0.003770   |
|      10      |  -12.131896  |  971.630196  |  154.651802  |  154.639748  |   0.012485   |   0.006467   |
|      11      |  -12.131896  | -971.630196  |  154.651802  |  154.639748  |   0.012485   |   0.006467   |
|      12      |  -12.739488  |  441.394239  |  70.279328   |  70.250075   |   0.028850   |   0.014235   |
|      13      |  -12.739488  | -441.394239  |  70.279328   |  70.250075   |   0.028850   |   0.014235   |
|      14      |  -20.169034  |   0.000000   |   3.210001   |   0.000000   |   1.000000   |     inf      |
|      15      | -124.063555  |   0.000000   |  19.745328   |   0.000000   |   1.000000   |     inf      |
|      16      | -392.720498  |  -0.000000   |  62.503408   |   0.000000   |   1.000000   |     inf      |
|      17      | -415.345419  | -204.830145  |  73.705616   |  32.599730   |   0.896869   |   0.030675   |
|      18      | -415.345419  |  204.830145  |  73.705616   |  32.599730   |   0.896869   |   0.030675   |
|      19      | -426.495081  | -116.400312  |  70.361442   |  18.525685   |   0.964716   |   0.053979   |
|      20      | -426.495081  |  116.400312  |  70.361442   |  18.525685   |   0.964716   |   0.053979   |
|      21      | -427.000649  |  310.920745  |  84.066548   |  49.484574   |   0.808398   |   0.020208   |
|      22      | -427.000649  | -310.920745  |  84.066548   |  49.484574   |   0.808398   |   0.020208   |
|      23      | -471.714563  | -387.287081  |  97.137454   |  61.638653   |   0.772881   |   0.016224   |
|      24      | -471.714563  |  387.287081  |  97.137454   |  61.638653   |   0.772881   |   0.016224   |
|      25      | -598.848055  |  -0.000000   |  95.309628   |   0.000000   |   1.000000   |     inf      |
|      26      | -648.677077  |  169.483301  |  106.705828  |  26.974105   |   0.967521   |   0.037073   |
|      27      | -648.677077  | -169.483301  |  106.705828  |  26.974105   |   0.967521   |   0.037073   |
|      28      | -689.036158  |  -0.000000   |  109.663511  |   0.000000   |   1.000000   |     inf      |
|      29      | -821.138448  |  -0.000000   |  130.688243  |   0.000000   |   1.000000   |     inf      |
|      30      | -1086.606589 |   0.000000   |  172.938810  |   0.000000   |   1.000000   |     inf      |
|      31      | -1210.772875 |  -0.000000   |  192.700488  |   0.000000   |   1.000000   |     inf      |
|      32      | -1669.783430 | -122.985165  |  266.474146  |  19.573697   |   0.997299   |   0.051089   |
|      33      | -1669.783430 |  122.985165  |  266.474146  |  19.573697   |   0.997299   |   0.051089   |
|      34      | -2206.949432 |  -0.000000   |  351.246911  |   0.000000   |   1.000000   |     inf      |
|      35      | -2355.197592 |   0.000000   |  374.841339  |   0.000000   |   1.000000   |     inf      |
|      36      | -3178.794409 |   0.000000   |  505.920843  |   0.000000   |   1.000000   |     inf      |
|      37      | -3565.339851 |   0.000000   |  567.441461  |   0.000000   |   1.000000   |     inf      |
|      38      | -4883.748504 | -818.700991  |  788.118674  |  130.300310  |   0.986238   |   0.007675   |
|      39      | -4883.748504 |  818.700991  |  788.118674  |  130.300310  |   0.986238   |   0.007675   |
|      40      | -9855.429462 |  -0.000000   | 1568.540315  |   0.000000   |   1.000000   |     inf      |
|      41      |-11753.689712 |  -0.000000   | 1870.657817  |   0.000000   |   1.000000   |     inf      |
|      42      |-15792.781152 |  -0.000000   | 2513.499186  |   0.000000   |   1.000000   |     inf      |
|      43      |-24070.326852 |  -0.000000   | 3830.911500  |   0.000000   |   1.000000   |     inf      |
|      44      |-29059.140613 |  -0.000000   | 4624.905871  |   0.000000   |   1.000000   |     inf      |
|      45      |-30078.083846 | 64339.817546 | 11303.702667 | 10240.000000 |   0.423496   |   0.000098   |
|      46      |-34010.319773 |-64339.817546 | 11582.624926 | 10240.000000 |   0.467330   |   0.000098   |
|      47      |-35414.937411 |-51254.899635 | 9915.343411  | 8157.470635  |   0.568459   |   0.000123   |
