|==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  27.943669   |   4.447373   |   4.447373   |  -0.000000   |   0.224852   |
|      1       |   0.000000   |  28.018687   |   4.459313   |   4.459313   |  -0.000000   |   0.224250   |
|      2       |   0.000000   |  167.862612  |  26.716164   |  26.716164   |  -0.000000   |   0.037431   |
|      3       |   0.000000   |  168.132438  |  26.759109   |  26.759109   |  -0.000000   |   0.037370   |
|      4       |   0.000000   |  182.700048  |  29.077616   |  29.077616   |  -0.000000   |   0.034391   |
|      5       |   0.000000   |  182.788272  |  29.091657   |  29.091657   |  -0.000000   |   0.034374   |
|      6       |   0.000000   |  358.342447  |  57.031972   |  57.031972   |  -0.000000   |   0.017534   |
|      7       |   0.000000   |  358.374838  |  57.037127   |  57.037127   |  -0.000000   |   0.017532   |
|      8       |   0.000000   |  514.398645  |  81.869087   |  81.869087   |  -0.000000   |   0.012215   |
|      9       |   0.000000   |  514.481189  |  81.882224   |  81.882224   |  -0.000000   |   0.012213   |
|      10      |   0.000000   | 1026.797993  |  163.419976  |  163.419976  |  -0.000000   |   0.006119   |
|      11      |   0.000000   | 1026.880230  |  163.433065  |  163.433065  |  -0.000000   |   0.006119   |
|      12      |   0.000000   | 1314.405377  |  209.194113  |  209.194113  |  -0.000000   |   0.004780   |
|      13      |   0.000000   | 1314.458127  |  209.202508  |  209.202508  |  -0.000000   |   0.004780   |
|      14      |   0.000000   | 1703.039489  |  271.047153  |  271.047153  |  -0.000000   |   0.003689   |
|      15      |   0.000000   | 1703.121572  |  271.060217  |  271.060217  |  -0.000000   |   0.003689   |
|      16      |   0.000000   | 2301.361226  |  366.273015  |  366.273015  |  -0.000000   |   0.002730   |
|      17      |   0.000000   | 2301.406234  |  366.280178  |  366.280178  |  -0.000000   |   0.002730   |
|      18      |   0.000000   | 2531.523386  |  402.904460  |  402.904460  |  -0.000000   |   0.002482   |
|      19      |   0.000000   | 2531.603289  |  402.917177  |  402.917177  |  -0.000000   |   0.002482   |
|==============|==============|==============|==============|==============|==============|==============||==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  27.799010   |   4.424350   |   4.424350   |  -0.000000   |   0.226022   |
|      1       |   0.000000   |  27.862641   |   4.434477   |   4.434477   |  -0.000000   |   0.225506   |
|      2       |   0.000000   |  175.757413  |  27.972661   |  27.972661   |  -0.000000   |   0.035749   |
|      3       |   0.000000   |  175.945091  |  28.002531   |  28.002531   |  -0.000000   |   0.035711   |
|      4       |   0.000000   |  184.088994  |  29.298673   |  29.298673   |  -0.000000   |   0.034131   |
|      5       |   0.000000   |  184.184135  |  29.313815   |  29.313815   |  -0.000000   |   0.034114   |
|      6       |   0.000000   |  362.765473  |  57.735918   |  57.735918   |  -0.000000   |   0.017320   |
|      7       |   0.000000   |  362.768896  |  57.736463   |  57.736463   |  -0.000000   |   0.017320   |
|      8       |   0.000000   |  516.524373  |  82.207407   |  82.207407   |  -0.000000   |   0.012164   |
|      9       |   0.000000   |  516.580196  |  82.216292   |  82.216292   |  -0.000000   |   0.012163   |
|      10      |   0.000000   | 1029.242125  |  163.808972  |  163.808972  |  -0.000000   |   0.006105   |
|      11      |   0.000000   | 1029.296821  |  163.817677  |  163.817677  |  -0.000000   |   0.006104   |
|      12      |   0.000000   | 1318.944239  |  209.916495  |  209.916495  |  -0.000000   |   0.004764   |
|      13      |   0.000000   | 1318.967328  |  209.920170  |  209.920170  |  -0.000000   |   0.004764   |
|      14      |   0.000000   | 1705.760369  |  271.480194  |  271.480194  |  -0.000000   |   0.003684   |
|      15      |   0.000000   | 1705.814001  |  271.488730  |  271.488730  |  -0.000000   |   0.003683   |
|      16      |   0.000000   | 2309.535627  |  367.574011  |  367.574011  |  -0.000000   |   0.002721   |
|      17      |   0.000000   | 2309.540713  |  367.574821  |  367.574821  |  -0.000000   |   0.002721   |
|      18      |   0.000000   | 2534.271723  |  403.341872  |  403.341872  |  -0.000000   |   0.002479   |
|      19      |   0.000000   | 2534.323915  |  403.350178  |  403.350178  |  -0.000000   |   0.002479   |
|==============|==============|==============|==============|==============|==============|==============|
