#tstep,        time,  Ref. state,       state,    Pcontrol,    Icontrol,    Dcontrol,       noise,     capping,         raw,     control
     1,    0.000242,    0.008271,    0.000000,    0.082713,    0.000020,    0.000000,    0.000000,    0.000000,    0.082733,    0.082733
     2,    0.000485,    0.008271,    0.002632,    0.056396,    0.000034,    0.000000,    0.000000,    0.000000,    0.056430,    0.056430
     3,    0.000727,    0.008271,    0.003821,    0.044504,    0.000044,    0.000000,    0.000000,    0.000000,    0.044548,    0.044548
     4,    0.000969,    0.008271,    0.004640,    0.036317,    0.000053,    0.000000,    0.000000,    0.000000,    0.036370,    0.036370
     5,    0.001211,    0.008271,    0.005277,    0.029947,    0.000061,    0.000000,    0.000000,    0.000000,    0.030008,    0.030008
     6,    0.001454,    0.008271,    0.005805,    0.024662,    0.000067,    0.000000,    0.000000,    0.000000,    0.024728,    0.024728
     7,    0.001696,    0.008271,    0.006261,    0.020104,    0.000071,    0.000000,    0.000000,    0.000000,    0.020176,    0.020176
     8,    0.001938,    0.008271,    0.006615,    0.016560,    0.000075,    0.000000,    0.000000,    0.000000,    0.016636,    0.016636
     9,    0.002180,    0.008271,    0.006973,    0.012983,    0.000079,    0.000000,    0.000000,    0.000000,    0.013062,    0.013062
    10,    0.002423,    0.008271,    0.007296,    0.009749,    0.000081,    0.000000,    0.000000,    0.000000,    0.009830,    0.009830
    11,    0.002665,    0.008271,    0.007601,    0.006705,    0.000083,    0.000000,    0.000000,    0.000000,    0.006787,    0.006787
    12,    0.002907,    0.008271,    0.007887,    0.003845,    0.000083,    0.000000,    0.000000,    0.000000,    0.003929,    0.003929
    13,    0.003149,    0.008271,    0.008155,    0.001166,    0.000084,    0.000000,    0.000000,    0.000000,    0.001250,    0.001250
    14,    0.003392,    0.008271,    0.008405,   -0.001338,    0.000083,    0.000000,    0.000000,    0.000000,   -0.001255,   -0.001255
    15,    0.003634,    0.008271,    0.008635,   -0.003642,    0.000083,    0.000000,    0.000000,    0.000000,   -0.003559,   -0.003559
    16,    0.003876,    0.008271,    0.008842,   -0.005711,    0.000081,    0.000000,    0.000000,    0.000000,   -0.005630,   -0.005630
    17,    0.004118,    0.008271,    0.009024,   -0.007523,    0.000079,    0.000000,    0.000000,    0.000000,   -0.007444,   -0.007444
    18,    0.004361,    0.008271,    0.009180,   -0.009084,    0.000077,    0.000000,    0.000000,    0.000000,   -0.009007,   -0.009007
    19,    0.004603,    0.008271,    0.009312,   -0.010409,    0.000075,    0.000000,    0.000000,    0.000000,   -0.010334,   -0.010334
    20,    0.004845,    0.008271,    0.009425,   -0.011536,    0.000072,    0.000000,    0.000000,    0.000000,   -0.011464,   -0.011464
    21,    0.005087,    0.008271,    0.009524,   -0.012531,    0.000069,    0.000000,    0.000000,    0.000000,   -0.012462,   -0.012462
    22,    0.005330,    0.008271,    0.009612,   -0.013411,    0.000066,    0.000000,    0.000000,    0.000000,   -0.013345,   -0.013345
    23,    0.005572,    0.008271,    0.009691,   -0.014192,    0.000062,    0.000000,    0.000000,    0.000000,   -0.014130,   -0.014130
    24,    0.005814,    0.008271,    0.009762,   -0.014910,    0.000058,    0.000000,    0.000000,    0.000000,   -0.014852,   -0.014852
    25,    0.006056,    0.008271,    0.009828,   -0.015569,    0.000055,    0.000000,    0.000000,    0.000000,   -0.015514,   -0.015514
    26,    0.006299,    0.008271,    0.009892,   -0.016210,    0.000051,    0.000000,    0.000000,    0.000000,   -0.016159,   -0.016159
    27,    0.006541,    0.008271,    0.009962,   -0.016904,    0.000047,    0.000000,    0.000000,    0.000000,   -0.016857,   -0.016857
    28,    0.006783,    0.008271,    0.010038,   -0.017670,    0.000042,    0.000000,    0.000000,    0.000000,   -0.017627,   -0.017627
    29,    0.007025,    0.008271,    0.010127,   -0.018555,    0.000038,    0.000000,    0.000000,    0.000000,   -0.018517,   -0.018517
    30,    0.007268,    0.008271,    0.010236,   -0.019650,    0.000033,    0.000000,    0.000000,    0.000000,   -0.019617,   -0.019617
