|==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  28.162716   |   4.482235   |   4.482235   |  -0.000000   |   0.223103   |
|      1       |   0.000000   |  28.294941   |   4.503280   |   4.503280   |  -0.000000   |   0.222060   |
|      2       |   0.000000   |  131.597156  |  20.944338   |  20.944338   |  -0.000000   |   0.047746   |
|      3       |   0.000000   |  131.903455  |  20.993087   |  20.993087   |  -0.000000   |   0.047635   |
|      4       |   0.000000   |  183.456453  |  29.198001   |  29.198001   |  -0.000000   |   0.034249   |
|      5       |   0.000000   |  183.577281  |  29.217232   |  29.217232   |  -0.000000   |   0.034226   |
|      6       |   0.000000   |  337.233809  |  53.672428   |  53.672428   |  -0.000000   |   0.018632   |
|      7       |   0.000000   |  337.274544  |  53.678911   |  53.678911   |  -0.000000   |   0.018629   |
|      8       |   0.000000   |  519.662452  |  82.706848   |  82.706848   |  -0.000000   |   0.012091   |
|      9       |   0.000000   |  519.775340  |  82.724815   |  82.724815   |  -0.000000   |   0.012088   |
|      10      |   0.000000   | 1051.967893  |  167.425890  |  167.425890  |  -0.000000   |   0.005973   |
|      11      |   0.000000   | 1052.076198  |  167.443127  |  167.443127  |  -0.000000   |   0.005972   |
|      12      |   0.000000   | 1307.403556  |  208.079739  |  208.079739  |  -0.000000   |   0.004806   |
|      13      |   0.000000   | 1307.466672  |  208.089784  |  208.089784  |  -0.000000   |   0.004806   |
|      14      |   0.000000   | 1758.441058  |  279.864586  |  279.864586  |  -0.000000   |   0.003573   |
|      15      |   0.000000   | 1758.545904  |  279.881273  |  279.881273  |  -0.000000   |   0.003573   |
|      16      |   0.000000   | 2311.135128  |  367.828580  |  367.828580  |  -0.000000   |   0.002719   |
|      17      |   0.000000   | 2311.139518  |  367.829279  |  367.829279  |  -0.000000   |   0.002719   |
|      18      |   0.000000   | 2624.536597  |  417.707973  |  417.707973  |  -0.000000   |   0.002394   |
|      19      |   0.000000   | 2624.635273  |  417.723677  |  417.723677  |  -0.000000   |   0.002394   |
|==============|==============|==============|==============|==============|==============|==============|
