#tstep,        time,  Ref. state,       state,    Pcontrol,    Icontrol,    Dcontrol,       noise,     capping,         raw,     control
     1,    0.000363,    0.018610,    0.000000,    0.186105,    0.000068,    0.000000,    0.000000,    0.000000,    0.186173,    0.186173
     2,    0.000727,    0.018610,    0.002632,    0.159790,    0.000126,    0.000000,    0.000000,    0.000000,    0.159915,    0.159915
     3,    0.001090,    0.018610,    0.003815,    0.147952,    0.000179,    0.000000,    0.000000,    0.000000,    0.148131,    0.148131
     4,    0.001454,    0.018610,    0.004625,    0.139855,    0.000230,    0.000000,    0.000000,    0.000000,    0.140085,    0.140085
     5,    0.001817,    0.018610,    0.005250,    0.133608,    0.000279,    0.000000,    0.000000,    0.000000,    0.133887,    0.133887
     6,    0.002180,    0.018610,    0.005760,    0.128505,    0.000326,    0.000000,    0.000000,    0.000000,    0.128830,    0.128830
     7,    0.002544,    0.018610,    0.006192,    0.124183,    0.000371,    0.000000,    0.000000,    0.000000,    0.124553,    0.124553
     8,    0.002907,    0.018610,    0.006567,    0.120434,    0.000414,    0.000000,    0.000000,    0.000000,    0.120848,    0.120848
     9,    0.003270,    0.018610,    0.006894,    0.117161,    0.000457,    0.000000,    0.000000,    0.000000,    0.117618,    0.117618
    10,    0.003634,    0.018610,    0.007180,    0.114307,    0.000499,    0.000000,    0.000000,    0.000000,    0.114806,    0.114806
    11,    0.003997,    0.018610,    0.007375,    0.112351,    0.000539,    0.000000,    0.000000,    0.000000,    0.112890,    0.112890
    12,    0.004361,    0.018610,    0.007578,    0.110320,    0.000579,    0.000000,    0.000000,    0.000000,    0.110899,    0.110899
    13,    0.004724,    0.018610,    0.007748,    0.108625,    0.000619,    0.000000,    0.000000,    0.000000,    0.109244,    0.109244
    14,    0.005087,    0.018610,    0.007936,    0.106741,    0.000658,    0.000000,    0.000000,    0.000000,    0.107398,    0.107398
    15,    0.005451,    0.018610,    0.008052,    0.105587,    0.000696,    0.000000,    0.000000,    0.000000,    0.106283,    0.106283
    16,    0.005814,    0.018610,    0.008151,    0.104597,    0.000734,    0.000000,    0.000000,    0.000000,    0.105331,    0.105331
    17,    0.006177,    0.018610,    0.008238,    0.103721,    0.000772,    0.000000,    0.000000,    0.000000,    0.104493,    0.104493
    18,    0.006541,    0.018610,    0.008321,    0.102900,    0.000809,    0.000000,    0.000000,    0.000000,    0.103709,    0.103709
    19,    0.006904,    0.018610,    0.008402,    0.102081,    0.000846,    0.000000,    0.000000,    0.000000,    0.102927,    0.102927
    20,    0.007268,    0.018610,    0.008439,    0.101717,    0.000883,    0.000000,    0.000000,    0.000000,    0.102600,    0.102600
    21,    0.007631,    0.018610,    0.008532,    0.100784,    0.000920,    0.000000,    0.000000,    0.000000,    0.101704,    0.101704
    22,    0.007994,    0.018610,    0.008636,    0.099740,    0.000956,    0.000000,    0.000000,    0.000000,    0.100696,    0.100696
    23,    0.008358,    0.018610,    0.008758,    0.098522,    0.000992,    0.000000,    0.000000,    0.000000,    0.099514,    0.099514
    24,    0.008721,    0.018610,    0.008890,    0.097202,    0.001027,    0.000000,    0.000000,    0.000000,    0.098229,    0.098229
    25,    0.009084,    0.018610,    0.009026,    0.095846,    0.001062,    0.000000,    0.000000,    0.000000,    0.096908,    0.096908
    26,    0.009448,    0.018610,    0.009159,    0.094512,    0.001096,    0.000000,    0.000000,    0.000000,    0.095608,    0.095608
    27,    0.009811,    0.018610,    0.009285,    0.093258,    0.001130,    0.000000,    0.000000,    0.000000,    0.094388,    0.094388
    28,    0.010175,    0.018610,    0.009400,    0.092103,    0.001164,    0.000000,    0.000000,    0.000000,    0.093267,    0.093267
    29,    0.010538,    0.018610,    0.009505,    0.091051,    0.001197,    0.000000,    0.000000,    0.000000,    0.092248,    0.092248
    30,    0.010901,    0.018610,    0.009597,    0.090139,    0.001230,    0.000000,    0.000000,    0.000000,    0.091369,    0.091369
    31,    0.011265,    0.018610,    0.009669,    0.089411,    0.001262,    0.000000,    0.000000,    0.000000,    0.090673,    0.090673
    32,    0.011628,    0.018610,    0.009720,    0.088904,    0.001294,    0.000000,    0.000000,    0.000000,    0.090198,    0.090198
    33,    0.011991,    0.018610,    0.009761,    0.088495,    0.001327,    0.000000,    0.000000,    0.000000,    0.089821,    0.089821
    34,    0.012355,    0.018610,    0.009785,    0.088256,    0.001359,    0.000000,    0.000000,    0.000000,    0.089615,    0.089615
    35,    0.012718,    0.018610,    0.009807,    0.088032,    0.001391,    0.000000,    0.000000,    0.000000,    0.089422,    0.089422
    36,    0.013082,    0.018610,    0.009830,    0.087803,    0.001422,    0.000000,    0.000000,    0.000000,    0.089226,    0.089226
    37,    0.013445,    0.018610,    0.009856,    0.087542,    0.001454,    0.000000,    0.000000,    0.000000,    0.088996,    0.088996
    38,    0.013808,    0.018610,    0.009890,    0.087201,    0.001486,    0.000000,    0.000000,    0.000000,    0.088687,    0.088687
    39,    0.014172,    0.018610,    0.009935,    0.086755,    0.001517,    0.000000,    0.000000,    0.000000,    0.088272,    0.088272
    40,    0.014535,    0.018610,    0.009991,    0.086199,    0.001549,    0.000000,    0.000000,    0.000000,    0.087748,    0.087748
    41,    0.014898,    0.018610,    0.010056,    0.085540,    0.001580,    0.000000,    0.000000,    0.000000,    0.087120,    0.087120
    42,    0.015262,    0.018610,    0.010132,    0.084783,    0.001611,    0.000000,    0.000000,    0.000000,    0.086393,    0.086393
    43,    0.015625,    0.018610,    0.010199,    0.084111,    0.001641,    0.000000,    0.000000,    0.000000,    0.085752,    0.085752
    44,    0.015989,    0.018610,    0.010272,    0.083388,    0.001672,    0.000000,    0.000000,    0.000000,    0.085059,    0.085059
    45,    0.016352,    0.018610,    0.010334,    0.082769,    0.001702,    0.000000,    0.000000,    0.000000,    0.084470,    0.084470
    46,    0.016715,    0.018610,    0.010381,    0.082300,    0.001732,    0.000000,    0.000000,    0.000000,    0.084031,    0.084031
    47,    0.017079,    0.018610,    0.010410,    0.082004,    0.001761,    0.000000,    0.000000,    0.000000,    0.083765,    0.083765
