|==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  26.719264   |   4.252503   |   4.252503   |  -0.000000   |   0.235156   |
|      1       |   0.000000   |  27.203601   |   4.329588   |   4.329588   |  -0.000000   |   0.230969   |
|      2       |   0.000000   |  79.839900   |  12.706915   |  12.706915   |  -0.000000   |   0.078697   |
|      3       |   0.000000   |  80.380198   |  12.792906   |  12.792906   |  -0.000000   |   0.078168   |
|      4       |   0.000000   |  161.444394  |  25.694673   |  25.694673   |  -0.000000   |   0.038919   |
|      5       |   0.000000   |  161.807788  |  25.752509   |  25.752509   |  -0.000000   |   0.038831   |
|      6       |   0.000000   |  331.674290  |  52.787603   |  52.787603   |  -0.000000   |   0.018944   |
|      7       |   0.000000   |  331.933053  |  52.828786   |  52.828786   |  -0.000000   |   0.018929   |
|      8       |   0.000000   |  447.502801  |  71.222283   |  71.222283   |  -0.000000   |   0.014041   |
|      9       |   0.000000   |  447.858998  |  71.278973   |  71.278973   |  -0.000000   |   0.014029   |
|      10      |   0.000000   |  959.001184  |  152.629779  |  152.629779  |  -0.000000   |   0.006552   |
|      11      |   0.000000   |  959.348747  |  152.685095  |  152.685095  |  -0.000000   |   0.006549   |
|      12      |   0.000000   | 1012.162319  |  161.090636  |  161.090636  |  -0.000000   |   0.006208   |
|      13      |   0.000000   | 1012.326643  |  161.116789  |  161.116789  |  -0.000000   |   0.006207   |
|      14      |   0.000000   | 1633.797917  |  260.027014  |  260.027014  |  -0.000000   |   0.003846   |
|      15      |   0.000000   | 1634.123265  |  260.078795  |  260.078795  |  -0.000000   |   0.003845   |
|      16      |   0.000000   | 2022.524551  |  321.894780  |  321.894780  |  -0.000000   |   0.003107   |
|      17      |   0.000000   | 2022.540399  |  321.897302  |  321.897302  |  -0.000000   |   0.003107   |
|      18      |   0.000000   | 2463.188065  |  392.028556  |  392.028556  |  -0.000000   |   0.002551   |
|      19      |   0.000000   | 2463.494473  |  392.077323  |  392.077323  |  -0.000000   |   0.002551   |
|==============|==============|==============|==============|==============|==============|==============|
