|==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  28.316404   |   4.506696   |   4.506696   |  -0.000000   |   0.221892   |
|      1       |   0.000000   |  28.318635   |   4.507051   |   4.507051   |  -0.000000   |   0.221875   |
|      2       |   0.000000   |  190.408554  |  30.304463   |  30.304463   |  -0.000000   |   0.032998   |
|      3       |   0.000000   |  190.411258  |  30.304893   |  30.304893   |  -0.000000   |   0.032998   |
|      4       |   0.000000   |  255.046821  |  40.591962   |  40.591962   |  -0.000000   |   0.024635   |
|      5       |   0.000000   |  255.058934  |  40.593890   |  40.593890   |  -0.000000   |   0.024634   |
|      6       |   0.000000   |  552.687946  |  87.963019   |  87.963019   |  -0.000000   |   0.011368   |
|      7       |   0.000000   |  552.690381  |  87.963406   |  87.963406   |  -0.000000   |   0.011368   |
|      8       |   0.000000   |  612.250762  |  97.442735   |  97.442735   |  -0.000000   |   0.010262   |
|      9       |   0.000000   |  612.254581  |  97.443343   |  97.443343   |  -0.000000   |   0.010262   |
|      10      |   0.000000   | 1087.365859  |  173.059651  |  173.059651  |  -0.000000   |   0.005778   |
|      11      |   0.000000   | 1087.366723  |  173.059789  |  173.059789  |  -0.000000   |   0.005778   |
|      12      |   0.000000   | 1140.142138  |  181.459257  |  181.459257  |  -0.000000   |   0.005511   |
|      13      |   0.000000   | 1140.143203  |  181.459427  |  181.459427  |  -0.000000   |   0.005511   |
|      14      |   0.000000   | 1800.854891  |  286.614958  |  286.614958  |  -0.000000   |   0.003489   |
|      15      |   0.000000   | 1800.857189  |  286.615323  |  286.615323  |  -0.000000   |   0.003489   |
|      16      |   0.000000   | 1996.182083  |  317.702246  |  317.702246  |  -0.000000   |   0.003148   |
|      17      |   0.000000   | 1996.183376  |  317.702452  |  317.702452  |  -0.000000   |   0.003148   |
|      18      |   0.000000   | 2665.532706  |  424.232706  |  424.232706  |  -0.000000   |   0.002357   |
|      19      |   0.000000   | 2665.535659  |  424.233176  |  424.233176  |  -0.000000   |   0.002357   |
|==============|==============|==============|==============|==============|==============|==============|
