|==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   2.401112   | -194.065201  |  30.888800   |  30.886436   |  -0.012372   |   0.032377   |
|      1       |   2.401112   |  194.065201  |  30.888800   |  30.886436   |  -0.012372   |   0.032377   |
|      2       |  -1.373423   | -387.463655  |  61.667143   |  61.666756   |   0.003545   |   0.016216   |
|      3       |  -1.373423   |  387.463655  |  61.667143   |  61.666756   |   0.003545   |   0.016216   |
|      4       |  -4.983278   |  518.455272  |  82.518531   |  82.514719   |   0.009611   |   0.012119   |
|      5       |  -4.983278   | -518.455272  |  82.518531   |  82.514719   |   0.009611   |   0.012119   |
|      6       |  -5.581851   | 1004.519961  |  159.876785  |  159.874317  |   0.005557   |   0.006255   |
|      7       |  -5.581851   | -1004.519961 |  159.876785  |  159.874317  |   0.005557   |   0.006255   |
|      8       |  -6.857836   |  -29.175521  |   4.769980   |   4.643428   |   0.228818   |   0.215358   |
|      9       |  -6.857836   |  29.175521   |   4.769980   |   4.643428   |   0.228818   |   0.215358   |
|      10      |  -7.513998   | 1584.435059  |  252.173507  |  252.170672  |   0.004742   |   0.003966   |
|      11      |  -7.513998   | -1584.435059 |  252.173507  |  252.170672  |   0.004742   |   0.003966   |
|      12      |  -11.301092  | -1252.417538 |  199.336557  |  199.328442  |   0.009023   |   0.005017   |
|      13      |  -11.301092  | 1252.417538  |  199.336557  |  199.328442  |   0.009023   |   0.005017   |
|      14      |  -11.659627  | -184.672680  |  29.450093   |  29.391570   |   0.063011   |   0.034023   |
|      15      |  -11.659627  |  184.672680  |  29.450093   |  29.391570   |   0.063011   |   0.034023   |
|      16      | -159.729656  |   0.000000   |  25.421764   |   0.000000   |   1.000000   |     inf      |
|      17      | -242.226719  |  -0.000000   |  38.551580   |   0.000000   |   1.000000   |     inf      |
|      18      | -253.246704  | -395.904723  |  74.798496   |  63.010194   |   0.538854   |   0.015870   |
|      19      | -253.246704  |  395.904723  |  74.798496   |  63.010194   |   0.538854   |   0.015870   |
|      20      | -278.834183  |  269.552917  |  61.724070   |  42.900679   |   0.718971   |   0.023310   |
|      21      | -278.834183  | -269.552917  |  61.724070   |  42.900679   |   0.718971   |   0.023310   |
|      22      | -280.621052  | -220.913945  |  56.841079   |  35.159546   |   0.785739   |   0.028442   |
|      23      | -280.621052  |  220.913945  |  56.841079   |  35.159546   |   0.785739   |   0.028442   |
|      24      | -317.686467  |  -0.000000   |  50.561372   |   0.000000   |   1.000000   |     inf      |
|      25      | -420.630803  | -112.784645  |  69.310223   |  17.950234   |   0.965882   |   0.055710   |
|      26      | -420.630803  |  112.784645  |  69.310223   |  17.950234   |   0.965882   |   0.055710   |
|      27      | -474.491099  |  12.988039   |  75.545890   |   2.067111   |   0.999626   |   0.483767   |
|      28      | -474.491099  |  -12.988039  |  75.545890   |   2.067111   |   0.999626   |   0.483767   |
|      29      | -623.103637  |   0.000000   |  99.170024   |   0.000000   |   1.000000   |     inf      |
|      30      | -802.637980  |  -0.265684   |  127.743809  |   0.042285   |   1.000000   |  23.649052   |
|      31      | -802.637980  |   0.265684   |  127.743809  |   0.042285   |   1.000000   |  23.649052   |
|      32      | -1135.331220 |  -68.783899  |  181.024892  |  10.947298   |   0.998170   |   0.091347   |
|      33      | -1135.331220 |  68.783899   |  181.024892  |  10.947298   |   0.998170   |   0.091347   |
|      34      | -1342.305754 |  -0.000000   |  213.634596  |   0.000000   |   1.000000   |     inf      |
|      35      | -1652.363978 |   0.000000   |  262.981895  |   0.000000   |   1.000000   |     inf      |
|      36      | -1760.548197 |  -0.000000   |  280.199948  |   0.000000   |   1.000000   |     inf      |
|      37      | -1935.833276 |  -0.000000   |  308.097435  |   0.000000   |   1.000000   |     inf      |
|      38      | -2166.347915 |   0.000000   |  344.784979  |   0.000000   |   1.000000   |     inf      |
|      39      | -2344.751971 |  -0.000000   |  373.178866  |   0.000000   |   1.000000   |     inf      |
|      40      | -3123.692190 | -3376.712157 |  732.106474  |  537.420431  |   0.679069   |   0.001861   |
|      41      | -3123.692190 | 3376.712157  |  732.106474  |  537.420431  |   0.679069   |   0.001861   |
|      42      | -3138.829167 | 3362.490192  |  732.088325  |  535.156935  |   0.682377   |   0.001869   |
|      43      | -3138.829167 | -3362.490192 |  732.088325  |  535.156935  |   0.682377   |   0.001869   |
|      44      | -3296.730485 | 3369.317009  |  750.238389  |  536.243457  |   0.699366   |   0.001865   |
|      45      | -3296.730485 | -3369.317009 |  750.238389  |  536.243457  |   0.699366   |   0.001865   |
|      46      | -3413.720655 |   0.000000   |  543.310517  |   0.000000   |   1.000000   |     inf      |
|      47      | -3461.185171 | 3341.822101  |  765.725143  |  531.867506  |   0.719403   |   0.001880   |
