#tstep,        time,  Ref. state,       state,    Pcontrol,    Icontrol,    Dcontrol,       noise,     capping,         raw,     control
     1,    0.000226,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000
     2,    0.000452,    0.000000,    0.000281,   -0.000421,   -0.000006,   -0.000025,    0.000000,    0.000000,   -0.000452,   -0.000452
     3,    0.000678,    0.000000,    0.000061,   -0.000091,   -0.000008,    0.000042,    0.000000,    0.000000,   -0.000057,   -0.000057
     4,    0.000905,    0.000000,    0.000303,   -0.000455,   -0.000015,   -0.000042,    0.000000,    0.000000,   -0.000512,   -0.000512
     5,    0.001131,    0.000000,    0.000057,   -0.000086,   -0.000016,    0.000043,    0.000000,    0.000000,   -0.000059,   -0.000059
     6,    0.001357,    0.000000,    0.000328,   -0.000492,   -0.000023,   -0.000047,    0.000000,    0.000000,   -0.000562,   -0.000562
     7,    0.001583,    0.000000,    0.000052,   -0.000078,   -0.000024,    0.000049,    0.000000,    0.000000,   -0.000054,   -0.000054
     8,    0.001809,    0.000000,    0.000352,   -0.000528,   -0.000032,   -0.000052,    0.000000,    0.000000,   -0.000613,   -0.000613
     9,    0.002035,    0.000000,    0.000043,   -0.000065,   -0.000033,    0.000054,    0.000000,    0.000000,   -0.000044,   -0.000044
