|==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  28.317504   |   4.506871   |   4.506871   |  -0.000000   |   0.221883   |
|      1       |   0.000000   |  28.317587   |   4.506884   |   4.506884   |  -0.000000   |   0.221883   |
|      2       |   0.000000   |  190.467271  |  30.313808   |  30.313808   |  -0.000000   |   0.032988   |
|      3       |   0.000000   |  190.467425  |  30.313832   |  30.313832   |  -0.000000   |   0.032988   |
|      4       |   0.000000   |  256.732052  |  40.860175   |  40.860175   |  -0.000000   |   0.024474   |
|      5       |   0.000000   |  256.732956  |  40.860319   |  40.860319   |  -0.000000   |   0.024474   |
|      6       |   0.000000   |  553.103634  |  88.029177   |  88.029177   |  -0.000000   |   0.011360   |
|      7       |   0.000000   |  553.103740  |  88.029194   |  88.029194   |  -0.000000   |   0.011360   |
|      8       |   0.000000   |  656.527621  |  104.489616  |  104.489616  |  -0.000000   |   0.009570   |
|      9       |   0.000000   |  656.527864  |  104.489655  |  104.489655  |  -0.000000   |   0.009570   |
|      10      |   0.000000   | 1068.568860  |  170.068016  |  170.068016  |  -0.000000   |   0.005880   |
|      11      |   0.000000   | 1068.569089  |  170.068053  |  170.068053  |  -0.000000   |   0.005880   |
|      12      |   0.000000   | 1106.239546  |  176.063492  |  176.063492  |  -0.000000   |   0.005680   |
|      13      |   0.000000   | 1106.240053  |  176.063573  |  176.063573  |  -0.000000   |   0.005680   |
|      14      |   0.000000   | 1800.673321  |  286.586060  |  286.586060  |  -0.000000   |   0.003489   |
|      15      |   0.000000   | 1800.673390  |  286.586071  |  286.586071  |  -0.000000   |   0.003489   |
|      16      |   0.000000   | 1959.136138  |  311.806201  |  311.806201  |  -0.000000   |   0.003207   |
|      17      |   0.000000   | 1959.136284  |  311.806224  |  311.806224  |  -0.000000   |   0.003207   |
|      18      |   0.000000   | 2665.906991  |  424.292275  |  424.292275  |  -0.000000   |   0.002357   |
|      19      |   0.000000   | 2665.907143  |  424.292300  |  424.292300  |  -0.000000   |   0.002357   |
|==============|==============|==============|==============|==============|==============|==============||==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  28.300818   |   4.504215   |   4.504215   |  -0.000000   |   0.222014   |
|      1       |   0.000000   |  28.300818   |   4.504215   |   4.504215   |  -0.000000   |   0.222014   |
|      2       |   0.000000   |  190.499773  |  30.318981   |  30.318981   |  -0.000000   |   0.032983   |
|      3       |   0.000000   |  190.499773  |  30.318981   |  30.318981   |  -0.000000   |   0.032983   |
|      4       |   0.000000   |  257.759612  |  41.023716   |  41.023716   |  -0.000000   |   0.024376   |
|      5       |   0.000000   |  257.759612  |  41.023716   |  41.023716   |  -0.000000   |   0.024376   |
|      6       |   0.000000   |  553.338276  |  88.066522   |  88.066522   |  -0.000000   |   0.011355   |
|      7       |   0.000000   |  553.338276  |  88.066522   |  88.066522   |  -0.000000   |   0.011355   |
|      8       |   0.000000   |  684.710453  |  108.975053  |  108.975053  |  -0.000000   |   0.009176   |
|      9       |   0.000000   |  684.710453  |  108.975053  |  108.975053  |  -0.000000   |   0.009176   |
|      10      |   0.000000   | 1037.945162  |  165.194103  |  165.194103  |  -0.000000   |   0.006053   |
|      11      |   0.000000   | 1037.945162  |  165.194103  |  165.194103  |  -0.000000   |   0.006053   |
|      12      |   0.000000   | 1099.847343  |  175.046141  |  175.046141  |  -0.000000   |   0.005713   |
|      13      |   0.000000   | 1099.847343  |  175.046141  |  175.046141  |  -0.000000   |   0.005713   |
|      14      |   0.000000   | 1800.487723  |  286.556521  |  286.556521  |  -0.000000   |   0.003490   |
|      15      |   0.000000   | 1800.487723  |  286.556521  |  286.556521  |  -0.000000   |   0.003490   |
|      16      |   0.000000   | 1944.305067  |  309.445762  |  309.445762  |  -0.000000   |   0.003232   |
|      17      |   0.000000   | 1944.305067  |  309.445762  |  309.445762  |  -0.000000   |   0.003232   |
|      18      |   0.000000   | 2666.086076  |  424.320778  |  424.320778  |  -0.000000   |   0.002357   |
|      19      |   0.000000   | 2666.086076  |  424.320778  |  424.320778  |  -0.000000   |   0.002357   |
|==============|==============|==============|==============|==============|==============|==============|
