#tstep,        time,  Ref. state,       state,    Pcontrol,    Icontrol,    Dcontrol,       noise,     capping,         raw,     control
     1,    0.000087,   60.327778,    0.000000,    6.032778,    0.005264,    0.000000,    0.000000,    1.000000,    6.038042,    0.436332
     2,    0.000175,   60.327778,   64.215203,   -0.388742,    0.004925,    0.000000,    0.000000,    0.000000,   -0.383818,   -0.383818
     3,    0.000262,   60.327778,   19.958669,    4.036911,    0.008447,    0.000000,    0.000000,    1.000000,    4.045358,    0.436332
     4,    0.000349,   60.327778,   80.118819,   -1.979104,    0.006721,    0.000000,    0.000000,   -1.000000,   -1.972384,   -0.436332
     5,    0.000436,   60.327778,   31.265221,    2.906256,    0.009257,    0.000000,    0.000000,    1.000000,    2.915512,    0.436332
     6,    0.000524,   60.327778,   90.289253,   -2.996148,    0.006642,    0.000000,    0.000000,   -1.000000,   -2.989505,   -0.436332
     7,    0.000611,   60.327778,   41.744116,    1.858366,    0.008264,    0.000000,    0.000000,    1.000000,    1.866630,    0.436332
     8,    0.000698,   60.327778,   98.765312,   -3.843753,    0.004910,    0.000000,    0.000000,   -1.000000,   -3.838844,   -0.436332
     9,    0.000785,   60.327778,   50.191160,    1.013662,    0.005794,    0.000000,    0.000000,    1.000000,    1.019456,    0.436332
    10,    0.000873,   60.327778,  106.060593,   -4.573281,    0.001804,    0.000000,    0.000000,   -1.000000,   -4.571478,   -0.436332
    11,    0.000960,   60.327778,   57.374578,    0.295320,    0.002061,    0.000000,    0.000000,    0.000000,    0.297381,    0.297381
    12,    0.001047,   60.327778,  100.206126,   -3.987835,   -0.001418,    0.000000,    0.000000,   -1.000000,   -3.989253,   -0.436332
    13,    0.001134,   60.327778,   58.976692,    0.135109,   -0.001301,    0.000000,    0.000000,    0.000000,    0.133808,    0.133808
    14,    0.001222,   60.327778,   88.688037,   -2.836026,   -0.003775,    0.000000,    0.000000,   -1.000000,   -2.839801,   -0.436332
    15,    0.001309,   60.327778,   55.624987,    0.470279,   -0.003365,    0.000000,    0.000000,    1.000000,    0.466914,    0.436332
