|==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |  -0.002699   |  683.282412  |  108.747773  |  108.747773  |   0.000004   |   0.009196   |
|      1       |  -0.002699   | -683.282412  |  108.747773  |  108.747773  |   0.000004   |   0.009196   |
|      2       |  -2.549315   |  251.724492  |  40.065252   |  40.063197   |   0.010127   |   0.024961   |
|      3       |  -2.549315   | -251.724492  |  40.065252   |  40.063197   |   0.010127   |   0.024961   |
|      4       |  -3.599255   |  549.933795  |  87.526556   |  87.524682   |   0.006545   |   0.011425   |
|      5       |  -3.599255   | -549.933795  |  87.526556   |  87.524682   |   0.006545   |   0.011425   |
|      6       |  -3.652568   |  -28.269004  |   4.536552   |   4.499152   |   0.128142   |   0.222264   |
|      7       |  -3.652568   |  28.269004   |   4.536552   |   4.499152   |   0.128142   |   0.222264   |
|      8       |  -4.171633   | 1088.491575  |  173.240087  |  173.238815  |   0.003832   |   0.005772   |
|      9       |  -4.171633   | -1088.491575 |  173.240087  |  173.238815  |   0.003832   |   0.005772   |
|      10      |  -4.197379   | -188.963703  |  30.081926   |  30.074507   |   0.022207   |   0.033251   |
|      11      |  -4.197379   |  188.963703  |  30.081926   |  30.074507   |   0.022207   |   0.033251   |
|      12      |  -5.682043   | -1767.851054 |  281.363687  |  281.362234  |   0.003214   |   0.003554   |
|      13      |  -5.682043   | 1767.851054  |  281.363687  |  281.362234  |   0.003214   |   0.003554   |
|      14      |  -7.591899   | -1025.617135 |  163.236509  |  163.232037  |   0.007402   |   0.006126   |
|      15      |  -7.591899   | 1025.617135  |  163.236509  |  163.232037  |   0.007402   |   0.006126   |
|      16      |  -75.167070  |   0.000000   |  11.963211   |   0.000000   |   1.000000   |     inf      |
|      17      |  -84.708493  |   0.000000   |  13.481775   |   0.000000   |   1.000000   |     inf      |
|      18      |  -90.167902  |  -96.469190  |  21.016020   |  15.353548   |   0.682844   |   0.065132   |
|      19      |  -90.167902  |  96.469190   |  21.016020   |  15.353548   |   0.682844   |   0.065132   |
|      20      |  -99.617839  |  36.798592   |  16.901813   |   5.856678   |   0.938046   |   0.170745   |
|      21      |  -99.617839  |  -36.798592  |  16.901813   |   5.856678   |   0.938046   |   0.170745   |
|      22      | -110.288533  |   0.000000   |  17.552965   |   0.000000   |   1.000000   |     inf      |
|      23      | -138.447260  |  100.523080  |  27.230166   |  15.998745   |   0.809197   |   0.062505   |
|      24      | -138.447260  | -100.523080  |  27.230166   |  15.998745   |   0.809197   |   0.062505   |
|      25      | -188.680899  |   0.000000   |  30.029498   |   0.000000   |   1.000000   |     inf      |
|      26      | -259.187605  |   0.000000   |  41.250988   |   0.000000   |   1.000000   |     inf      |
|      27      | -296.395092  |  -0.000000   |  47.172744   |   0.000000   |   1.000000   |     inf      |
|      28      | -385.388726  |  -0.000000   |  61.336521   |   0.000000   |   1.000000   |     inf      |
|      29      | -398.270631  |   0.000000   |  63.386740   |   0.000000   |   1.000000   |     inf      |
|      30      | -484.162517  |  -0.000000   |  77.056858   |   0.000000   |   1.000000   |     inf      |
|      31      | -524.526290  |   0.000000   |  83.480952   |   0.000000   |   1.000000   |     inf      |
|      32      | -648.757127  |  -0.000000   |  103.252904  |   0.000000   |   1.000000   |     inf      |
|      33      | -757.387292  |  -0.000000   |  120.541931  |   0.000000   |   1.000000   |     inf      |
|      34      | -978.869659  |  52.775731   |  156.018211  |   8.399518   |   0.998550   |   0.119054   |
|      35      | -978.869659  |  -52.775731  |  156.018211  |   8.399518   |   0.998550   |   0.119054   |
|      36      | -1371.654343 |  -0.000000   |  218.305569  |   0.000000   |   1.000000   |     inf      |
|      37      | -1567.350226 |   0.000000   |  249.451536  |   0.000000   |   1.000000   |     inf      |
|      38      | -2185.683500 |  -64.341813  |  348.013027  |  10.240318   |   0.999567   |   0.097653   |
|      39      | -2185.683500 |  64.341813   |  348.013027  |  10.240318   |   0.999567   |   0.097653   |
|      40      | -2944.189297 |  -0.000000   |  468.582280  |   0.000000   |   1.000000   |     inf      |
|      41      | -5895.497855 |  -0.000000   |  938.297626  |   0.000000   |   1.000000   |     inf      |
|      42      | -6975.822292 |-13571.680264 | 2428.626218  | 2160.000000  |   0.457146   |   0.000463   |
|      43      | -7389.035622 | 13571.680264 | 2459.386027  | 2160.000000  |   0.478169   |   0.000463   |
|      44      | -7401.028855 | 10182.759160 | 2003.480785  | 1620.636455  |   0.587932   |   0.000617   |
|      45      | -7401.028855 |-10182.759160 | 2003.480785  | 1620.636455  |   0.587932   |   0.000617   |
|      46      | -7902.082352 |  -0.000000   | 1257.655467  |   0.000000   |   1.000000   |     inf      |
|      47      | -8267.915138 | 8839.247683  | 1926.305608  | 1406.809962  |   0.683110   |   0.000711   |
