|==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  27.986089   |   4.454124   |   4.454124   |  -0.000000   |   0.224511   |
|      1       |   0.000000   |  28.000335   |   4.456392   |   4.456392   |  -0.000000   |   0.224397   |
|      2       |   0.000000   |  185.266925  |  29.486147   |  29.486147   |  -0.000000   |   0.033914   |
|      3       |   0.000000   |  185.281870  |  29.488525   |  29.488525   |  -0.000000   |   0.033911   |
|      4       |   0.000000   |  252.468127  |  40.181550   |  40.181550   |  -0.000000   |   0.024887   |
|      5       |   0.000000   |  252.512162  |  40.188559   |  40.188559   |  -0.000000   |   0.024883   |
|      6       |   0.000000   |  528.625527  |  84.133366   |  84.133366   |  -0.000000   |   0.011886   |
|      7       |   0.000000   |  528.648233  |  84.136979   |  84.136979   |  -0.000000   |   0.011885   |
|      8       |   0.000000   |  549.239898  |  87.414245   |  87.414245   |  -0.000000   |   0.011440   |
|      9       |   0.000000   |  549.348598  |  87.431545   |  87.431545   |  -0.000000   |   0.011438   |
|      10      |   0.000000   | 1046.681612  |  166.584552  |  166.584552  |  -0.000000   |   0.006003   |
|      11      |   0.000000   | 1046.698020  |  166.587164  |  166.587164  |  -0.000000   |   0.006003   |
|      12      |   0.000000   | 1198.944150  |  190.817888  |  190.817888  |  -0.000000   |   0.005241   |
|      13      |   0.000000   | 1199.084820  |  190.840276  |  190.840276  |  -0.000000   |   0.005240   |
|      14      |   0.000000   | 1725.274704  |  274.585997  |  274.585997  |  -0.000000   |   0.003642   |
|      15      |   0.000000   | 1725.291435  |  274.588660  |  274.588660  |  -0.000000   |   0.003642   |
|      16      |   0.000000   | 2017.994799  |  321.173847  |  321.173847  |  -0.000000   |   0.003114   |
|      17      |   0.000000   | 2018.161381  |  321.200360  |  321.200360  |  -0.000000   |   0.003113   |
|      18      |   0.000000   | 2554.117773  |  406.500469  |  406.500469  |  -0.000000   |   0.002460   |
|      19      |   0.000000   | 2554.135271  |  406.503254  |  406.503254  |  -0.000000   |   0.002460   |
|==============|==============|==============|==============|==============|==============|==============||==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  27.962362   |   4.450348   |   4.450348   |  -0.000000   |   0.224702   |
|      1       |   0.000000   |  27.966760   |   4.451048   |   4.451048   |  -0.000000   |   0.224666   |
|      2       |   0.000000   |  185.412474  |  29.509312   |  29.509312   |  -0.000000   |   0.033888   |
|      3       |   0.000000   |  185.417789  |  29.510158   |  29.510158   |  -0.000000   |   0.033887   |
|      4       |   0.000000   |  257.711777  |  41.016103   |  41.016103   |  -0.000000   |   0.024381   |
|      5       |   0.000000   |  257.735940  |  41.019949   |  41.019949   |  -0.000000   |   0.024378   |
|      6       |   0.000000   |  530.372430  |  84.411394   |  84.411394   |  -0.000000   |   0.011847   |
|      7       |   0.000000   |  530.377364  |  84.412179   |  84.412179   |  -0.000000   |   0.011847   |
|      8       |   0.000000   |  616.055635  |  98.048300   |  98.048300   |  -0.000000   |   0.010199   |
|      9       |   0.000000   |  616.062123  |  98.049332   |  98.049332   |  -0.000000   |   0.010199   |
|      10      |   0.000000   | 1047.704966  |  166.747424  |  166.747424  |  -0.000000   |   0.005997   |
|      11      |   0.000000   | 1047.709561  |  166.748156  |  166.748156  |  -0.000000   |   0.005997   |
|      12      |   0.000000   | 1118.707554  |  178.047837  |  178.047837  |  -0.000000   |   0.005616   |
|      13      |   0.000000   | 1118.711878  |  178.048525  |  178.048525  |  -0.000000   |   0.005616   |
|      14      |   0.000000   | 1726.378880  |  274.761732  |  274.761732  |  -0.000000   |   0.003640   |
|      15      |   0.000000   | 1726.383496  |  274.762467  |  274.762467  |  -0.000000   |   0.003640   |
|      16      |   0.000000   | 1933.934989  |  307.795313  |  307.795313  |  -0.000000   |   0.003249   |
|      17      |   0.000000   | 1933.937026  |  307.795637  |  307.795637  |  -0.000000   |   0.003249   |
|      18      |   0.000000   | 2555.265839  |  406.683189  |  406.683189  |  -0.000000   |   0.002459   |
|      19      |   0.000000   | 2555.270988  |  406.684009  |  406.684009  |  -0.000000   |   0.002459   |
|==============|==============|==============|==============|==============|==============|==============|
