|==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |  62.671950   |  206.262668  |  34.309635   |  32.827723   |  -0.290722   |   0.030462   |
|      1       |  62.671950   | -206.262668  |  34.309635   |  32.827723   |  -0.290722   |   0.030462   |
|      2       |  33.529978   | 1081.433475  |  172.198192  |  172.115483  |  -0.030990   |   0.005810   |
|      3       |  33.529978   | -1081.433475 |  172.198192  |  172.115483  |  -0.030990   |   0.005810   |
|      4       |   6.368824   |  525.585908  |  83.655736   |  83.649595   |  -0.012117   |   0.011955   |
|      5       |   6.368824   | -525.585908  |  83.655736   |  83.649595   |  -0.012117   |   0.011955   |
|      6       |   3.984009   | -987.860402  |  157.224145  |  157.222866  |  -0.004033   |   0.006360   |
|      7       |   3.984009   |  987.860402  |  157.224145  |  157.222866  |  -0.004033   |   0.006360   |
|      8       |   3.322932   | 1500.499794  |  238.812545  |  238.811959  |  -0.002215   |   0.004187   |
|      9       |   3.322932   | -1500.499794 |  238.812545  |  238.811959  |  -0.002215   |   0.004187   |
|      10      |   3.101545   |  496.076989  |  78.954648   |  78.953105   |  -0.006252   |   0.012666   |
|      11      |   3.101545   | -496.076989  |  78.954648   |  78.953105   |  -0.006252   |   0.012666   |
|      12      |  -4.304837   | -188.141280  |  29.951452   |  29.943615   |   0.022875   |   0.033396   |
|      13      |  -4.304837   |  188.141280  |  29.951452   |  29.943615   |   0.022875   |   0.033396   |
|      14      |  -5.124914   |  29.743702   |   4.803613   |   4.733857   |   0.169800   |   0.211244   |
|      15      |  -5.124914   |  -29.743702  |   4.803613   |   4.733857   |   0.169800   |   0.211244   |
|      16      | -127.120610  |  -0.000000   |  20.231873   |   0.000000   |   1.000000   |     inf      |
|      17      | -153.634026  | -237.487402  |  45.016851   |  37.797294   |   0.543166   |   0.026457   |
|      18      | -153.634026  |  237.487402  |  45.016851   |  37.797294   |   0.543166   |   0.026457   |
|      19      | -172.191667  |  -0.000000   |  27.405155   |   0.000000   |   1.000000   |     inf      |
|      20      | -214.251959  | -166.754996  |  43.210239   |  26.539882   |   0.789148   |   0.037679   |
|      21      | -214.251959  |  166.754996  |  43.210239   |  26.539882   |   0.789148   |   0.037679   |
|      22      | -241.083245  |  -0.000000   |  38.369590   |   0.000000   |   1.000000   |     inf      |
|      23      | -245.671483  | -175.466820  |  48.048738   |  27.926412   |   0.813754   |   0.035808   |
|      24      | -245.671483  |  175.466820  |  48.048738   |  27.926412   |   0.813754   |   0.035808   |
|      25      | -314.768232  |  -18.526161  |  50.183615   |   2.948530   |   0.998272   |   0.339152   |
|      26      | -314.768232  |  18.526161   |  50.183615   |   2.948530   |   0.998272   |   0.339152   |
|      27      | -457.767040  |  -12.026713  |  72.881027   |   1.914111   |   0.999655   |   0.522436   |
|      28      | -457.767040  |  12.026713   |  72.881027   |   1.914111   |   0.999655   |   0.522436   |
|      29      | -459.555054  |  -0.000000   |  73.140458   |   0.000000   |   1.000000   |     inf      |
|      30      | -601.157985  |  -0.000000   |  95.677265   |   0.000000   |   1.000000   |     inf      |
|      31      | -648.745467  |   0.000000   |  103.251048  |   0.000000   |   1.000000   |     inf      |
|      32      | -755.253144  |   0.000000   |  120.202271  |   0.000000   |   1.000000   |     inf      |
|      33      | -803.211559  |   0.000000   |  127.835090  |   0.000000   |   1.000000   |     inf      |
|      34      | -973.021066  |  -0.000000   |  154.861112  |   0.000000   |   1.000000   |     inf      |
|      35      | -1043.780675 |  -0.000000   |  166.122854  |   0.000000   |   1.000000   |     inf      |
|      36      | -1236.458932 |  -0.000000   |  196.788551  |   0.000000   |   1.000000   |     inf      |
|      37      | -1366.591333 |   0.000000   |  217.499766  |   0.000000   |   1.000000   |     inf      |
|      38      | -1501.750976 |  -0.000000   |  239.011091  |   0.000000   |   1.000000   |     inf      |
|      39      | -1618.838007 |  139.005550  |  258.594168  |  22.123420   |   0.996334   |   0.045201   |
|      40      | -1618.838007 | -139.005550  |  258.594168  |  22.123420   |   0.996334   |   0.045201   |
|      41      | -2237.262559 |  53.476207   |  356.173098  |   8.511003   |   0.999714   |   0.117495   |
|      42      | -2237.262559 |  -53.476207  |  356.173098  |   8.511003   |   0.999714   |   0.117495   |
|      43      | -2248.371442 | -3895.574890 |  715.855472  |  620.000000  |   0.499877   |   0.001613   |
|      44      | -2260.698324 | 2514.884519  |  538.202650  |  400.256302  |   0.668524   |   0.002498   |
|      45      | -2260.698324 | -2514.884519 |  538.202650  |  400.256302  |   0.668524   |   0.002498   |
|      46      | -2321.451898 | -2508.124272 |  543.924127  |  399.180376  |   0.679269   |   0.002505   |
|      47      | -2321.451898 | 2508.124272  |  543.924127  |  399.180376  |   0.679269   |   0.002505   |
